JAVNE PARKIRNE POVRŠINE,TARIFNI RAZRED,OBRATOVALNI ?AS,"?AS, V KATEREM SE PARKIRNINA PLA?UJE
DNEVNA TARIFA        NO?NA TARIFA        ENOTNA TARIFA",,,DNEVNA CENA Z DDV,E/M,"Cena parkirnine z DDV (v EUR)
NO?NA CENA                                 ENOTNA CENA Z DDV                            E/M             Z DDV",,,E/M
ZOO (Ve?na pot),P-3,pon.-ned.,7.00-19.00 ure,19.00-7.00 ure,(ni),0.70,prvi dve uri,2.00,na no?,,
,,,,,,0.70,vsaka naslednja,,,,
P+R Dolgi most (Tržaška cesta),P+R,pon.-ned.,(ni),(ni),24 ur od nakupa,(ni),,(ni),(ni),1.30,za 24 ur
,P-osebni,pon.-ned.,(ni),(ni),"za 1 dan do
najve? 7 dni",5.00,za 24 ur ali en dan,(ni),(ni),,
,P-BV-3,pon.-ned.,(ni),(ni),"za 1 dan do
najve? 7 dni",10.00,za 24 ur ali en dan,(ni),(ni),,
,B-2,pon.-ned.,7.00-19.00 ure,(ni),,3.00,na uro,(ni),(ni),,
P+R Ježica (Obvozna cesta),P+R,pon.-ned.,(ni),(ni),24 ur od nakupa,(ni),,,,1.30,za 24 ur
P+R Barje (Barjanska cesta),P+R,pon.-ned.,(ni),(ni),24 ur od nakupa,(ni),,,,1.30,za 24 ur
,P-osebni,pon.-ned.,(ni),(ni),"za 1 dan do
najve? 7 dni",5.00,za 24 ur ali en dan,(ni),(ni),,
,P-BV-3,pon.-ned.,(ni),(ni),"za 1 dan do
najve? 7 dni",10.00,za 24 ur ali en dan,(ni),(ni),,
,B-2,pon.-ned.,7.00-19.00 ure,(ni),,3.00,na uro,(ni),(ni),,
ŠRC Stožice*  (parkirna hiša)   (Cesta Janeza Porente – vhod 5 ali Štajerska cesta – vhod – 1),P+R,pon.-ned.,(ni),(ni),24 ur od nakupa,(ni),,,,1.30,za 24 ur
,H-1(B),pon-ned,7.00-19.00 ure,19.00-7.00 ure,(ni),1.20,na uro,2.00,na no?,,
,B-2,pon-ned,7.00-19.00 ure,(ni),(ni),3.00,na uro,,,,
,P-2 AB**,pon-ned,(ni),(ni),mese?no,(ni),,,,40.00,na mesec
P+R  Studenec (parkirna hiša),P+R,pon.-ned.,(ni),(ni),24 ur od nakupa,(ni),,(ni),(ni),1.30,za 24 ur
,P-1 AB**,pon-ned,(ni),(ni),mese?no,(ni),,,,45.00,na mesec
P+R Staneži?e,P+R,pon.-ned.,(ni),(ni),24 ur od nakupa,(ni),,,,1.30,za 24 ur
,P-osebni,pon.-ned.,(ni),(ni),za 1 dan do,5.00,za 24 ur ali en dan,(ni),(ni),,
,P-BV-3,pon.-ned.,(ni),(ni),za 1 dan do,10.00,za 24 ur ali en dan,(ni),(ni),,
P+R Letališka,P+R,pon.-ned.,(ni),(ni),24 ur od nakupa,(ni),,,,1.30,za 24 ur
Trg osvobodilne fronte,SH-1,pon.-ned.,(ni),(ni),,,,,,80.00,na mesec
,,,,,,,,,,,
Parkirna hiša Kozolec,,,,,,,,,,,
Osebni avto,H-1,pon.-ned.,7.00-19.00 ure,19.00-7.00 ure,(ni),1.50,,2.00,na no?,(ni),
Abonenti fizi?ne osebe,H-2,pon-ned,(ni),(ni),mese?no,,,,,132.00,na mesec
Abonenti pravne osebe,H-3,pon-ned,(ni),(ni),mese?no,,,(ni),(ni),220.00,na mesec
Abonenti stanovalci,H-4,pon-ned,(ni),(ni),mese?no,,,,,70.00,na mesec
,,,,,,,,,,,
Parkirna hiša Kongresni trg,,,,,,,,,,,
Osebni avto,H-1 A,pon.-ned.,7.00-24.00 ure,24.00-7.00 ure,(ni),1.70,Do 3 ure/na uro,2.00,na no?,,
,,,,,,2.50,Nad 3 ure/na uro,,,,
Abonenti pravne osebe**,H-3,pon-ned,(ni),(ni),mese?no,,,,,220.00,na mesec
Abonenti stanovalci,H-4,pon-ned,(ni),(ni),mese?no,,,,,70.00,na mesec
,,,,,,,,,,,
Parkirna hiša Rog,,,,,,,,,,,
Osebni avto,H-1,pon.-ned.,7.00-19.00 ure,19.00-7.00 ure,(ni),1.50,,2.00,na no?,(ni),
Abonenti fizi?ne osebe,H-2,pon-ned,(ni),(ni),mese?no,,,,,132.00,na mesec
Abonenti pravne osebe,H-3,pon-ned,(ni),(ni),mese?no,,,(ni),(ni),220.00,na mesec
Abonenti stanovalci,H-4,pon-ned,(ni),(ni),mese?no,,,,,70.00,na mesec
,,,,,,,,,,,
Parkirna hiša Ilirija,,,,,,,,,,,
Osebni avto,H-1,pon.-ned.,7.00-19.00 ure,19.00-7.00 ure,(ni),1.50,,2.00,na no?,(ni),
Abonenti fizi?ne osebe,H-2,pon-ned,(ni),(ni),mese?no,,,,,132.00,na mesec
Abonenti pravne osebe,H-3,pon-ned,(ni),(ni),mese?no,,,(ni),(ni),220.00,na mesec
Abonenti stanovalci,H-4,pon-ned,(ni),(ni),mese?no,,,,,70.00,na mesec
Ježica (Obvozna cesta),,,,,,,,,,,
Tovorno vozilo,T-1,pon.-ned.,0.00-24.00 ure,,(ni),2.00,na uro,,,,
Tovorno vozilo,T-2,pon.-ned.,0.00-24.00 ure,(ni),,,,,,14.00,na dan
Tovorno vozilo s prikolico,T-3,pon.-ned.,0.00-24.00 ure,(ni),,,,,,170.00,na mesec
Tovorno vozilo brez prikolice,T-4,pon.-ned.,0.00-24.00 ure,(ni),,,,,,116.00,na mesec
Po?itniška prikolica,T-5,pon.-ned.,0.00-24.00 ure,(ni),,,,,,162.00,na mesec
Bratislavska cesta (parkiriš?e za avtobuse),,,,,,,,,,,
Avtobus,B-2,pon-ned,6.00-20.00 ure,(ni),(ni),3.00,na uro,,,,
Leskoškova Cesta (parkiriš?e za avtobuse),,,,,,,,,,,
Avtobus,B-2,pon-ned,6.00-20.00 ure,(ni),(ni),3.00,na uro,,,,
